gasto,riqueza,poblacion,porcentaje,densidad,ingreso,crecimiento
2212,10.28139,3.963033,1.84055,3.89182,6.467938,20.6
2415,10.62333,6.152839,1.960095,6.359574,6.937865,13.4
2086,10.56978,4.333361,3.178054,4.543295,6.650754,-4
3360,10.62636,6.982058,2.197225,7.174724,6.718364,3.9
2107,10.52098,6.133,2.351375,6.180017,6.898839,8
1309,10.08158,3.806292,2.151762,4.174387,6.50446,7.7
1512,10.57275,4.599487,2.70805,4.682131,6.863567,4.6
3815,10.73537,3.522431,2.04122,3.496508,6.442359,11.8
2163,10.11751,4.038362,2.028148,4.077537,6.515619,13.5
413,10.12379,3.023672,3.54674,3.713572,6.545555,0.7
2758,10.31588,1.871802,3.69883,2.397895,6.075847,-16.5
2786,9.529209,2.628285,3.100092,3.135494,5.990942,-8
1155,9.794844,2.994064,3.577948,3.295837,6.384364,7.2
1400,9.532815,3.035754,3.005683,3.610918,6.245479,0.1
1134,9.677446,2.662588,3.848018,3.091042,6.266447,2.4
1792,10.04613,2.095971,3.152736,2.639057,6.101193,5.9
1687,9.392087,3.250374,2.850707,3.7612,6.047181,2.9
4879,10.42332,1.330605,3.795489,1.791759,6.191902,-9.7
1330,9.624699,2.295896,2.867899,2.833213,6.108521,-7.8
1435,9.905501,2.360854,3.430756,3.218876,6.255406,20.4
1316,9.21678,3.760037,2.251292,4.290459,5.676555,5.4
2072,9.831916,2.418886,3.202746,2.944439,5.896673,-2.6
1442,9.47773,2.873565,3.421,3.367296,6.076747,11
1232,10.14587,3.352824,2.862201,3.931826,6.300835,1.3
2149,9.21483,3.596856,3.683867,4.094345,5.989838,1
1407,9.441619,3.31358,3.095578,3.806662,6.29642,-6.4
2632,9.980152,2.151762,3.720862,2.772589,6.129547,1.4
5019,10.23213,2.06897,3.632309,2.639057,6.276078,-3.6
1498,9.48685,3.234093,2.912351,3.713572,6.197401,2.6
2303,10.04398,2.817403,3.058707,3.367296,6.137306,-9.8
1869,9.659561,2.490447,3.206803,2.995732,5.955005,6.9
3220,10.26572,2.983997,2.624669,3.526361,6.143849,4.5
1421,9.433196,3.488394,3.152736,4.025352,6.204158,-0.3
3080,10.04197,1.698669,3.218876,2.397895,6.301195,-7.7
931,10.03717,3.868419,2.61007,4.418841,6.314053,-0.5
3535,10.41208,1.470176,3.640214,1.94591,6.104371,-22.4
1365,10.00995,3.166178,3.165475,3.663562,6.339371,-1.6
1547,9.366549,2.947942,3.148453,3.465736,5.948377,0.5
1456,9.77566,3.845883,2.815409,4.219508,6.323766,20.9
1680,10.17433,4.424048,2.163323,5.283204,6.723621,0
1288,10.12788,5.32504,2.272126,5.894403,6.548367,0.6
1239,9.690437,4.556505,2.557227,4.290459,6.171034,12.6
1407,9.855253,4.650303,2.844909,5.545177,6.398896,1
1064,9.94088,4.126328,1.481605,6.785588,6.490576,2.2
1029,9.894966,4.787908,2.388763,5.389072,6.445398,-2.2
1638,10.1369,4.629538,1.386294,5.288267,6.453225,4.5
1421,9.842463,3.608212,2.80336,3.871201,6.156704,26.3
1162,9.999352,4.543117,2.60269,4.812184,6.469534,6
1855,9.569405,3.470931,2.624669,4.369448,6.223284,29.5
2632,11.57844,2.335375,2.415914,1.94591,6.210967,-13.3
987,9.547962,3.524889,2.985682,4.007333,6.206136,28
1694,10.39547,6.191646,3.054001,6.964136,6.716468,-0.8
1925,10.15036,6.095524,1.974081,6.234411,6.67008,-1.9
1393,9.949273,4.521064,2.549445,4.110874,6.301554,13.3
861,9.459347,4.655229,2.501436,4.488636,6.205147,-3
1883,9.626686,3.606403,2.580217,3.7612,6.362374,12.5
1358,9.787049,2.904165,2.639057,3.295837,6.20277,-0.4
1841,10.07673,2.508243,2.778819,2.639057,6.073706,3.4
1491,9.507136,3.359797,2.667228,3.871201,5.90432,7.9
959,9.68892,3.085725,2.617396,3.637586,6.227066,-0.5
2380,9.783109,2.828299,2.74084,3.218876,6.200785,6.5
4459,11.27133,2.926739,2.388763,3.218876,6.50717,13.5
3381,9.878416,2.647356,2.833213,2.890372,6.147314,-11.1
1190,10.01675,3.02205,2.197225,3.178054,6.212638,1.2
1785,9.506511,3.5332,2.923162,3.931826,6.103496,9.7
1386,9.809138,3.557726,2.827314,3.73767,6.266912,3.8
1386,9.679594,3.544817,3.411148,3.988984,6.234971,-4
1827,10.01265,2.285778,3.165475,2.772589,5.989102,9.6
1358,9.566223,2.66375,2.797281,3.295837,6.053187,9.3
1673,9.408412,3.062612,3.058707,3.555348,5.822762,18
735,9.909857,2.465271,2.827314,3.178054,6.174611,10.5
3283,10.0912,2.0836,3.288402,2.70805,6.37029,-17.5
1743,9.716935,3.686376,2.509599,4.077537,6.118172,13.6
3857,10.47026,2.473733,2.76001,2.890372,6.273494,-7.7
1729,9.614938,2.948815,3.169686,3.433987,6.019695,24.4
1603,9.752973,2.664911,2.312535,3.178054,6.269142,-8.2
1372,9.777766,3.492966,3.039749,4.204693,6.459382,-6.2
2912,9.81493,2.548142,2.587764,3.178054,6.291169,-6.2
1435,9.750651,3.125297,3.194583,3.912023,6.34747,-19.2
672,9.684834,4.024756,3.039749,4.564348,6.277643,0.2
1085,9.952511,2.477938,2.797281,3.091042,6.279298,27
1596,10.03699,2.017123,3.005683,3.218876,6.136988,-21.5
2212,10.66707,1.592631,2.821379,2.079442,6.014321,32.5
980,9.61769,3.816979,2.797281,4.330733,6.222118,7.3
